del_size	fq
0	1424951
-1	21576
-2	44990
-3	6659
-4	24726
-5	7640
-6	8039
-7	11540
-8	18527
-9	9960
-10	63914
-11	17447
-12	8216
-13	12707
-14	7870
-15	5294
-16	99310
-17	5543
-18	5007
-19	5714
-20	9301
-21	8585
-22	3708
-23	3740
-24	11345
-25	3028
-26	2290
-27	3192
-28	2776
-29	1411
-30	1491
-31	1438
-32	6167
-33	1231
-34	1489
-35	1109
-36	1913
-37	3758
-38	31456
-39	1270990
-40	20217
-41	45191
-42	4993
-43	3039
-44	2533
-45	2530
-46	3708
-47	13957
-48	5379
-49	5666
-50	7453
-51	2396
-52	1824
-53	2974
-54	1329
-55	13861
