indel_size	fq
-55	13861
-54	1329
-53	2974
-52	1823
-51	2396
-50	7453
-49	5630
-48	5414
-47	13956
-46	3710
-45	2531
-44	2533
-43	3039
-42	4990
-41	45117
-40	20286
-39	1270982
-38	31462
-37	3710
-36	1844
-35	1175
-34	1543
-33	1151
-32	5779
-31	1676
-30	1459
-29	1490
-28	2765
-27	3206
-26	2064
-25	3111
-24	11016
-23	4070
-22	3652
-21	8374
-20	9274
-19	5734
-18	4765
-17	5998
-16	96157
-15	7944
-14	7754
-13	12565
-12	8581
-11	15583
-10	61388
-9	12850
-8	18412
-7	11268
-6	8467
-5	7306
-4	17944
-3	11960
-2	44036
-1	19240
0	1314368
1	87383
2	16695
3	2918
4	2311
5	1209
6	555
7	449
8	586
9	698
10	438
11	197
12	152
13	324
14	72
15	99
16	216
17	108
18	35
19	153
20	63
21	43
22	106
23	22
24	147
25	138
26	47
27	98
28	78
29	149
30	167
31	63
32	115
33	134
34	111
35	2
36	63
37	7
38	235
39	200
40	8
41	130
42	51
43	34
44	5
45	125
46	0
47	0
48	1
49	32
50	13
51	2
52	65
53	13
54	33
55	0
56	3
57	75
58	2
59	0
60	1
61	45
62	1
63	0
64	0
65	22
66	0
67	0
68	16
69	10
70	77
71	0
72	10
73	7
74	22
75	68
76	2
77	24
78	12
79	0
80	3
81	7
82	54
83	50
84	57
85	0
86	0
87	7
88	0
89	0
90	80
91	10
92	19
93	42
94	14
95	0
96	50
97	0
98	24
99	8
100	0
101	13
