ins_size	fq
0	3164697
1	115010
2	20643
3	4279
4	2729
5	1518
6	618
7	466
8	691
9	749
10	426
11	188
12	334
13	242
14	69
15	242
16	309
17	163
18	36
19	229
20	24
21	56
22	107
23	21
24	146
25	99
26	1
27	86
28	157
29	230
30	250
31	7
32	116
33	88
34	110
35	2
36	47
37	7
38	67
39	162
40	9
41	84
42	2
43	34
44	170
45	253
46	41
47	0
48	64
49	1
50	13
51	34
52	89
53	1
54	2
55	1
56	3
57	119
58	2
59	0
60	1
61	45
62	0
63	0
64	0
65	0
66	1
67	7
68	16
69	10
70	45
71	0
72	26
73	7
74	22
75	53
76	16
77	15
78	41
79	1
80	0
81	2
82	47
83	50
84	57
85	1
86	0
87	3
88	0
89	14
90	0
91	82
92	12
93	55
94	15
95	0
96	48
97	0
98	26
99	8
100	0
101	29
