indel_size	fq
-55	2
-54	0
-53	1
-52	0
-51	1
-50	3
-49	4
-48	0
-47	5
-46	3
-45	2
-44	30
-43	165
-42	59
-41	11
-40	3
-39	329
-38	14
-37	1
-36	1
-35	1
-34	2
-33	3
-32	614
-31	1
-30	1
-29	1
-28	0
-27	2
-26	0
-25	2
-24	1
-23	2
-22	5
-21	3
-20	4
-19	1
-18	3
-17	0
-16	29
-15	4
-14	275
-13	6
-12	1
-11	221
-10	593
-9	6
-8	4
-7	6
-6	5
-5	4
-4	6
-3	195
-2	53
-1	564
0	2440803
1	158
2	5
3	1
4	1
5	1
6	2
7	1
8	0
9	1
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	1
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	1
