# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	3.014683316561645010e-05
19	3.014683316561645010e-05
20	3.014683316561645010e-05
21	3.014683316561645010e-05
22	3.014683316561645010e-05
23	3.014683316561645010e-05
24	3.014683316561645010e-05
25	3.014683316561645010e-05
26	3.014683316561645010e-05
27	3.014683316561645010e-05
28	3.014683316561645010e-05
29	3.014683316561645010e-05
30	3.014683316561645010e-05
31	6.029366633123290020e-05
32	6.029366633123290020e-05
33	9.044049949684935369e-05
34	9.044049949684935369e-05
35	9.044049949684935369e-05
36	9.044049949684935369e-05
37	9.044049949684935369e-05
38	1.597782157777671852e-03
39	1.597782157777671852e-03
40	1.597782157777671852e-03
41	1.627928990943288421e-03
42	1.627928990943288421e-03
43	1.627928990943288421e-03
44	6.119807132620139374e-03
45	6.149953965785755726e-03
46	6.421275464276303760e-03
47	7.536708291404113115e-03
48	7.536708291404113115e-03
49	7.566855124569729467e-03
50	1.229990793157151145e-02
51	1.911309222700082952e-02
52	3.512106063794316613e-02
53	3.858794645198905526e-02
54	4.512980924892782963e-02
55	4.932021905894851121e-02
56	4.932021905894851121e-02
57	5.709810201567756122e-02
58	5.972087650108619250e-02
59	5.972087650108619250e-02
60	5.972087650108619250e-02
61	6.376055214527880100e-02
62	6.587083046687194909e-02
63	9.466105614003565705e-02
64	1.091918297258627907e-01
65	1.177836771780634700e-01
66	1.307166686061129457e-01
67	1.359622175769301944e-01
68	1.474481610130300713e-01
69	3.135873585887423154e-01
70	3.302284104961625832e-01
71	3.354739594669798874e-01
72	3.547076390266431511e-01
73	3.916978033208545762e-01
74	4.559708516299488257e-01
75	4.938955677522943177e-01
76	5.443915133047019239e-01
77	5.687501545025199778e-01
78	6.193365405544243307e-01
79	6.828559180343782842e-01
80	7.341959749154230996e-01
81	7.914146642637630569e-01
82	1.341081873372447886e+00
83	1.397577038724812981e+00
84	1.868138957606920281e+00
85	4.578188525030011391e+00
86	4.697569984365852491e+00
87	5.807365353691690935e+00
88	6.938836296063607634e+00
89	7.125686368024098272e+00
90	7.893074006254864550e+00
91	8.009109167109322414e+00
92	9.769322461983335870e+00
93	1.025830409592963477e+01
94	1.050698532271280428e+01
95	1.284628913586514543e+01
96	1.309608579547544238e+01
97	1.150523740932586314e+01
98	1.270553357181488074e+01
99	1.258726754530616887e+01
100	5.073214599026016458e+01
101	4.777851001085888782e+01
102	4.627140952724339229e+01
103	4.599523438861317715e+01
104	4.510035579292502206e+01
105	4.486171346158599960e+01
106	4.438204719908787865e+01
107	4.398124505215101010e+01
108	4.380135889865177035e+01
109	4.360202803776071789e+01
110	4.353865939444659006e+01
111	4.352862049900244301e+01
112	4.350495523496743289e+01
113	4.347824514078269686e+01
114	4.347969218877464925e+01
115	4.353549397696420442e+01
116	4.350992946243975723e+01
117	4.349612221284990454e+01
118	4.347860690278068319e+01
119	4.348207378859473238e+01
120	4.345895116755669818e+01
121	4.346118203321096018e+01
122	4.346983417432949182e+01
123	4.349735823300969884e+01
124	4.355255708453594110e+01
125	4.363289839492230726e+01
126	4.373973877166125135e+01
127	4.387573113607135156e+01
128	4.388661414284413809e+01
129	4.393204542042472127e+01
130	4.407647889812118791e+01
131	4.434945847243584893e+01
132	4.452810860577528729e+01
133	4.460450068101695820e+01
134	4.461475060429327044e+01
135	4.472418360868445575e+01
136	4.340052660488174041e+01
137	4.238771359784968951e+01
138	4.213191771843943201e+01
139	2.732750132796800013e+00
140	1.438395850831057698e+00
141	1.377921303500831085e+00
142	1.153779598914472793e+00
143	8.035336911963408824e-01
144	7.172233078431810016e-01
145	5.646803320251617686e-01
146	4.915742615985418396e-01
147	2.827170014271510601e-01
148	1.834736266459417176e-01
149	1.636068635898004775e-01
150	1.110006397157997787e-01
151	8.640082385265675236e-02
152	7.452297158540387156e-02
153	6.942815678041468208e-02
154	7.159872876833907329e-02
155	3.469900497362453373e-02
156	3.433724297563713751e-02
157	3.448797714146521753e-02
158	2.619759802092069476e-02
159	1.751531006922315767e-02
160	1.751531006922315767e-02
161	1.567635324612055500e-02
162	1.368666225718986884e-02
163	1.365651542402425249e-02
164	7.838176623060277501e-03
165	7.808029789894661149e-03
166	7.808029789894661149e-03
167	7.717589290397811226e-03
168	7.717589290397811226e-03
169	4.944080639161098183e-03
170	4.944080639161098183e-03
171	4.913933805995481831e-03
172	4.913933805995481831e-03
173	4.913933805995481831e-03
174	0.000000000000000000e+00
175	0.000000000000000000e+00
176	0.000000000000000000e+00
177	0.000000000000000000e+00
178	0.000000000000000000e+00
179	0.000000000000000000e+00
180	0.000000000000000000e+00
181	0.000000000000000000e+00
182	0.000000000000000000e+00
183	0.000000000000000000e+00
184	0.000000000000000000e+00
185	0.000000000000000000e+00
186	0.000000000000000000e+00
187	0.000000000000000000e+00
188	0.000000000000000000e+00
189	0.000000000000000000e+00
