# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	0.000000000000000000e+00
24	0.000000000000000000e+00
25	0.000000000000000000e+00
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	0.000000000000000000e+00
31	0.000000000000000000e+00
32	0.000000000000000000e+00
33	4.091273028241648610e-05
34	4.091273028241648610e-05
35	4.091273028241648610e-05
36	4.091273028241648610e-05
37	4.091273028241648610e-05
38	4.091273028241648610e-05
39	4.091273028241648610e-05
40	4.091273028241648610e-05
41	4.091273028241648610e-05
42	4.091273028241648610e-05
43	8.182546056483297220e-05
44	8.182546056483297220e-05
45	1.227381908472494651e-04
46	1.636509211296659444e-04
47	1.636509211296659444e-04
48	2.045636514120824237e-04
49	2.045636514120824237e-04
50	2.045636514120824237e-04
51	2.454763816944989302e-04
52	4.091273028241648475e-04
53	3.927622107111982883e-03
54	1.080096079455795249e-02
55	1.088278625512278594e-02
56	1.092369898540520093e-02
57	1.092369898540520093e-02
58	1.092369898540520093e-02
59	1.092369898540520093e-02
60	1.092369898540520093e-02
61	1.096461171568761765e-02
62	1.096461171568761765e-02
63	1.096461171568761765e-02
64	1.100552444597003438e-02
65	1.100552444597003438e-02
66	1.104643717625245110e-02
67	1.088278625512278594e-02
68	1.088278625512278594e-02
69	3.596228991824409332e-02
70	3.600320264852650831e-02
71	3.604411537880892330e-02
72	3.588046445767925641e-02
73	3.588046445767925641e-02
74	3.592137718796167140e-02
75	3.592137718796167140e-02
76	3.592137718796167140e-02
77	3.588046445767925641e-02
78	3.649415541191550205e-02
79	3.633050449078584210e-02
80	3.592137718796167140e-02
81	3.600320264852650831e-02
82	3.608502810909133829e-02
83	3.608502810909133829e-02
84	3.616685356965617520e-02
85	3.739423547812866649e-02
86	3.743514820841108148e-02
87	6.145092088418956100e-02
88	6.181913545673130977e-02
89	6.210552456870822857e-02
90	6.226917548983788853e-02
91	6.226917548983788853e-02
92	6.316925555605105991e-02
93	7.454299457456284306e-02
94	7.532033644992874866e-02
95	7.474755822597492494e-02
96	7.454299457456284306e-02
97	4.950440364172394719e-02
98	5.007718186567777785e-02
99	5.003626913539536286e-02
100	6.345564466802797177e-02
101	3.706693363586933965e-02
102	3.669871906332759087e-02
103	3.678054452389242085e-02
104	3.575772626683201144e-02
105	3.592137718796167140e-02
106	3.563498807598475954e-02
107	3.215740600197936061e-02
108	2.561136915679271958e-02
109	2.319751807013014852e-02
110	1.575140115873034652e-02
111	1.587413934957759495e-02
112	1.538318658618859948e-02
113	1.538318658618859948e-02
114	1.828799043624016948e-02
115	1.571048842844793153e-02
116	1.542409931647101447e-02
117	1.542409931647101447e-02
118	1.636509211296659563e-02
119	1.534227385590618276e-02
120	1.534227385590618276e-02
121	1.583322661929517997e-02
122	1.538318658618859948e-02
123	1.542409931647101447e-02
124	1.595596481014242840e-02
125	1.546501204675343119e-02
126	1.644691757353142561e-02
127	1.579231388901276498e-02
128	1.550592477703584791e-02
129	1.562866296788309808e-02
130	1.558775023760068136e-02
131	1.571048842844793153e-02
132	1.718334671861492316e-02
133	1.587413934957759495e-02
134	1.575140115873034652e-02
135	1.587413934957759495e-02
136	1.632417938268417718e-02
137	1.546501204675343119e-02
138	1.517862293477651586e-02
139	1.431945559884577075e-03
140	7.773418753659131885e-04
141	7.773418753659131885e-04
142	9.819055267779957206e-04
143	5.318654936714143668e-04
144	3.395756613440568516e-03
145	4.091273028241648475e-04
146	2.454763816944989302e-04
147	8.182546056483297220e-05
148	6.136909542362472712e-04
149	1.636509211296659444e-04
150	1.636509211296659444e-04
151	2.454763816944989302e-04
152	1.636509211296659444e-04
153	1.636509211296659444e-04
154	1.881985592991158428e-03
155	6.136909542362472712e-04
156	1.636509211296659444e-04
157	2.454763816944989302e-04
158	2.454763816944989302e-04
159	1.636509211296659444e-04
160	1.636509211296659444e-04
161	8.182546056483296949e-04
162	3.273018422593318888e-04
163	4.500400331065813539e-04
164	2.045636514120824237e-04
165	2.045636514120824237e-04
166	2.045636514120824237e-04
167	2.045636514120824237e-04
168	2.045636514120824237e-04
169	2.045636514120824237e-04
170	2.045636514120824237e-04
171	1.227381908472494651e-04
172	1.227381908472494651e-04
173	1.227381908472494651e-04
174	1.227381908472494651e-04
175	1.227381908472494651e-04
176	0.000000000000000000e+00
177	0.000000000000000000e+00
178	0.000000000000000000e+00
179	0.000000000000000000e+00
180	0.000000000000000000e+00
181	0.000000000000000000e+00
182	0.000000000000000000e+00
183	0.000000000000000000e+00
184	0.000000000000000000e+00
185	0.000000000000000000e+00
186	0.000000000000000000e+00
187	0.000000000000000000e+00
188	0.000000000000000000e+00
189	0.000000000000000000e+00
