# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	0.000000000000000000e+00
24	0.000000000000000000e+00
25	0.000000000000000000e+00
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	0.000000000000000000e+00
31	0.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	0.000000000000000000e+00
35	0.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	0.000000000000000000e+00
39	0.000000000000000000e+00
40	0.000000000000000000e+00
41	0.000000000000000000e+00
42	0.000000000000000000e+00
43	0.000000000000000000e+00
44	0.000000000000000000e+00
45	0.000000000000000000e+00
46	0.000000000000000000e+00
47	0.000000000000000000e+00
48	0.000000000000000000e+00
49	0.000000000000000000e+00
50	0.000000000000000000e+00
51	0.000000000000000000e+00
52	0.000000000000000000e+00
53	0.000000000000000000e+00
54	0.000000000000000000e+00
55	0.000000000000000000e+00
56	0.000000000000000000e+00
57	0.000000000000000000e+00
58	0.000000000000000000e+00
59	0.000000000000000000e+00
60	0.000000000000000000e+00
61	0.000000000000000000e+00
62	0.000000000000000000e+00
63	0.000000000000000000e+00
64	0.000000000000000000e+00
65	3.014683316561645010e-05
66	5.124961638154797161e-04
67	4.823493306498632016e-04
68	3.587473146708357579e-03
69	3.587473146708357579e-03
70	0.000000000000000000e+00
71	3.014683316561645010e-05
72	1.175726493459041625e-03
73	3.074976982892877863e-03
74	2.321306153752466898e-03
75	3.919088311530138750e-04
76	6.330834964779454488e-04
77	1.085285993962192353e-03
78	9.948454944653428635e-04
79	2.049984655261918864e-03
80	5.426429969810961547e-03
81	4.069822477358221377e-03
82	5.426429969810961547e-03
83	7.898470289391510205e-03
84	6.119807132620139374e-03
85	6.813184295429318069e-03
86	6.933771628091783476e-03
87	1.287269776171822561e-02
88	1.664105190742028173e-02
89	1.214917376574342969e-02
90	9.255077781844251242e-03
91	1.254108259689644400e-02
92	1.395798375568041774e-02
93	1.546532541396123880e-02
94	6.291644081664153620e-02
95	3.024028834842986124e-01
96	3.771489416351280433e+00
97	3.683309929341852307e+00
98	1.732237033696321371e-01
99	3.916073628213576768e-02
100	3.466885814045891911e-02
101	8.380819620041373569e-03
102	4.793346473333015556e-03
103	1.537488491446438975e-02
104	2.212777554356247511e-02
105	1.305357876071192372e-02
106	2.773508651236713477e-03
107	4.190409810020686784e-03
108	4.280850309517535840e-03
109	1.115432827127808705e-03
110	8.441113286372606706e-04
111	8.441113286372606706e-04
112	5.426429969810961764e-04
113	1.175726493459041625e-03
114	4.699891290519604692e-02
115	4.609450791022755289e-02
116	0.000000000000000000e+00
117	0.000000000000000000e+00
118	0.000000000000000000e+00
119	0.000000000000000000e+00
120	0.000000000000000000e+00
121	9.646986612997264033e-04
122	9.285224615009867594e-03
123	8.350672786875757217e-03
124	3.014683316561645010e-05
125	9.044049949684935369e-05
126	4.220556643186303353e-04
127	1.266166992955890898e-03
128	2.652921318574247636e-03
129	3.255857981886576841e-03
130	1.537488491446438931e-03
131	1.383739642301795060e-02
132	1.534473808129877340e-02
133	2.432849436465247747e-02
134	3.418650880980905749e-02
135	1.851317024700506186e-01
136	5.066778250145157481e-01
137	3.594406918336449652e-01
138	3.572399730125549316e-02
139	3.023727366511329978e-02
140	2.230865654255617322e-02
141	1.266166992955890898e-03
142	3.014683316561645010e-05
143	9.345518281341099430e-04
144	2.291159320586850113e-03
145	1.416901158783973307e-03
146	1.688222657274521341e-03
147	4.190409810020686784e-03
148	3.225711148720960490e-03
149	6.933771628091783693e-04
150	0.000000000000000000e+00
151	3.014683316561645010e-05
152	6.029366633123290020e-05
153	1.205873326624658004e-04
154	1.808809989936987074e-04
155	9.948454944653428635e-04
156	9.044049949684935912e-04
157	7.838176623060277501e-04
158	8.139644954716442104e-04
159	3.014683316561645010e-05
160	0.000000000000000000e+00
161	0.000000000000000000e+00
162	2.110278321593151568e-03
163	2.110278321593151568e-03
164	0.000000000000000000e+00
165	0.000000000000000000e+00
166	0.000000000000000000e+00
167	0.000000000000000000e+00
168	0.000000000000000000e+00
169	0.000000000000000000e+00
170	0.000000000000000000e+00
171	0.000000000000000000e+00
172	0.000000000000000000e+00
173	0.000000000000000000e+00
174	0.000000000000000000e+00
175	0.000000000000000000e+00
176	0.000000000000000000e+00
177	0.000000000000000000e+00
178	0.000000000000000000e+00
179	0.000000000000000000e+00
180	0.000000000000000000e+00
181	0.000000000000000000e+00
182	0.000000000000000000e+00
183	0.000000000000000000e+00
184	0.000000000000000000e+00
185	0.000000000000000000e+00
186	0.000000000000000000e+00
187	0.000000000000000000e+00
188	0.000000000000000000e+00
189	0.000000000000000000e+00
