# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	3.014683316561645010e-05
19	3.014683316561645010e-05
20	3.014683316561645010e-05
21	3.014683316561645010e-05
22	3.014683316561645010e-05
23	3.014683316561645010e-05
24	3.014683316561645010e-05
25	3.014683316561645010e-05
26	3.014683316561645010e-05
27	3.014683316561645010e-05
28	3.014683316561645010e-05
29	3.014683316561645010e-05
30	3.014683316561645010e-05
31	6.029366633123290020e-05
32	6.029366633123290020e-05
33	9.044049949684935369e-05
34	9.044049949684935369e-05
35	9.044049949684935369e-05
36	9.044049949684935369e-05
37	9.044049949684935369e-05
38	1.597782157777671852e-03
39	1.597782157777671852e-03
40	1.597782157777671852e-03
41	1.627928990943288421e-03
42	1.627928990943288421e-03
43	1.627928990943288421e-03
44	6.119807132620139374e-03
45	6.149953965785755726e-03
46	6.421275464276303760e-03
47	7.536708291404113115e-03
48	7.536708291404113115e-03
49	7.566855124569729467e-03
50	1.229990793157151145e-02
51	1.911309222700082952e-02
52	3.512106063794316613e-02
53	3.858794645198905526e-02
54	4.512980924892782963e-02
55	4.932021905894851121e-02
56	4.932021905894851121e-02
57	5.709810201567756122e-02
58	5.972087650108619250e-02
59	5.972087650108619250e-02
60	5.972087650108619250e-02
61	6.376055214527880100e-02
62	6.587083046687194909e-02
63	9.466105614003565705e-02
64	1.091918297258627907e-01
65	1.178138240112290985e-01
66	1.312291647699284081e-01
67	1.364445669075800560e-01
68	1.510356341597384189e-01
69	3.171748317354506908e-01
70	3.302284104961625832e-01
71	3.355041063001454882e-01
72	3.558833655201021906e-01
73	3.947727803037474059e-01
74	4.582921577837013039e-01
75	4.942874765834473494e-01
76	5.450245968011798725e-01
77	5.698354404964821596e-01
78	6.203313860488897102e-01
79	6.849059026896401337e-01
80	7.396224048852340083e-01
81	7.954844867411212661e-01
82	1.346508303342258905e+00
83	1.405475509014204594e+00
84	1.874258764739540339e+00
85	4.585001709325440267e+00
86	4.704503755993943770e+00
87	5.820238051453409334e+00
88	6.955477347971028124e+00
89	7.137835541789841365e+00
90	7.902329084036709084e+00
91	8.021650249706219427e+00
92	9.783280445739016784e+00
93	1.027376942134359616e+01
94	1.056990176352944566e+01
95	1.314869201934944343e+01
96	1.686757521182672193e+01
97	1.518854733866771411e+01
98	1.287875727518451363e+01
99	1.262642828158830355e+01
100	5.076681484840062097e+01
101	4.778689083047893149e+01
102	4.627620287371672703e+01
103	4.601060927352764196e+01
104	4.512248356846858144e+01
105	4.487476704034671116e+01
106	4.438482070773911659e+01
107	4.398543546196102483e+01
108	4.380563974896129054e+01
109	4.360314347058784534e+01
110	4.353950350577522954e+01
111	4.352946461033107539e+01
112	4.350549787796441592e+01
113	4.347942086727615418e+01
114	4.352669110167984456e+01
115	4.358158848487443038e+01
116	4.350992946243975723e+01
117	4.349612221284990454e+01
118	4.347860690278068319e+01
119	4.348207378859473238e+01
120	4.345895116755669818e+01
121	4.346214673187225941e+01
122	4.347911939894449773e+01
123	4.350570890579657402e+01
124	4.355258723136910959e+01
125	4.363298883542180562e+01
126	4.374016082732557464e+01
127	4.387699730306430723e+01
128	4.388926706416270918e+01
129	4.393530127840660526e+01
130	4.407801638661263866e+01
131	4.436329586885886300e+01
132	4.454345334385659072e+01
133	4.462882917538161109e+01
134	4.464893711310308078e+01
135	4.490931531115450781e+01
136	4.390720442989625383e+01
137	4.274715428968332986e+01
138	4.216764171574068598e+01
139	2.762987406461913320e+00
140	1.460704507373614014e+00
141	1.379187470493786982e+00
142	1.153809745747638393e+00
143	8.044682430244750604e-01
144	7.195144671637678790e-01
145	5.660972331839457805e-01
146	4.932624842558163691e-01
147	2.869074112371717833e-01
148	1.866993377946626897e-01
149	1.643002407526096553e-01
150	1.110006397157997787e-01
151	8.643097068582236697e-02
152	7.458326525173510080e-02
153	6.954874411307715443e-02
154	7.177960976733277487e-02
155	3.569385046808987855e-02
156	3.524164797060563153e-02
157	3.527179480377124615e-02
158	2.701156251639234146e-02
159	1.754545690238877576e-02
160	1.751531006922315767e-02
161	1.567635324612055500e-02
162	1.579694057878302041e-02
163	1.576679374561740579e-02
164	7.838176623060277501e-03
165	7.808029789894661149e-03
166	7.808029789894661149e-03
167	7.717589290397811226e-03
168	7.717589290397811226e-03
169	4.944080639161098183e-03
170	4.944080639161098183e-03
171	4.913933805995481831e-03
172	4.913933805995481831e-03
173	4.913933805995481831e-03
174	0.000000000000000000e+00
175	0.000000000000000000e+00
176	0.000000000000000000e+00
177	0.000000000000000000e+00
178	0.000000000000000000e+00
179	0.000000000000000000e+00
180	0.000000000000000000e+00
181	0.000000000000000000e+00
182	0.000000000000000000e+00
183	0.000000000000000000e+00
184	0.000000000000000000e+00
185	0.000000000000000000e+00
186	0.000000000000000000e+00
187	0.000000000000000000e+00
188	0.000000000000000000e+00
189	0.000000000000000000e+00
